_station_id,_station_name,image_only,naive_multimodal,structured_multimodal,tabular_only,score_mean_across_conditions,score_std_across_conditions,score_range_across_conditions
426,서울역,2.0,2.0,4.0,4.0,3.0,1.1547005383792515,2.0
207,상왕십리,2.0,4.0,2.0,4.0,3.0,1.1547005383792515,2.0
2744,보라매,3.0,1.0,1.0,1.0,1.5,1.0,2.0
223,교대(법원.검찰청),2.0,2.0,2.0,4.0,2.5,1.0,2.0
2749,철산,2.0,4.0,4.0,4.0,3.5,1.0,2.0
412,창동,2.0,4.0,4.0,4.0,3.5,1.0,2.0
227,낙성대,2.0,4.0,4.0,4.0,3.5,1.0,2.0
2752,온수(성공회대입구),4.0,2.0,2.0,2.0,2.5,1.0,2.0
219,삼성(무역센터),2.0,2.0,2.0,4.0,2.5,1.0,2.0
217,잠실새내,2.0,4.0,4.0,4.0,3.5,1.0,2.0
2750,광명사거리,2.0,4.0,4.0,4.0,3.5,1.0,2.0
209,한양대,2.0,4.0,4.0,4.0,3.5,1.0,2.0
419,한성대입구(삼선교),2.0,4.0,4.0,4.0,3.5,1.0,2.0
421,동대문,2.0,2.0,2.0,4.0,2.5,1.0,2.0
417,길음,2.0,4.0,4.0,4.0,3.5,1.0,2.0
335,대치,2.0,4.0,4.0,4.0,3.5,1.0,2.0
2560,거여,2.0,4.0,4.0,4.0,3.5,1.0,2.0
338,일원,2.0,4.0,4.0,4.0,3.5,1.0,2.0
232,구로디지털단지,2.0,4.0,4.0,4.0,3.5,1.0,2.0
229,봉천,2.0,4.0,4.0,4.0,3.5,1.0,2.0
315,무악재,2.0,4.0,4.0,4.0,3.5,1.0,2.0
238,합정,2.0,4.0,2.0,2.0,2.5,1.0,2.0
2554,상일동,2.0,4.0,4.0,4.0,3.5,1.0,2.0
418,성신여대입구(돈암),2.0,2.0,2.0,4.0,2.5,1.0,2.0
317,경복궁(정부서울청사),2.0,4.0,4.0,4.0,3.5,1.0,2.0
240,신촌,2.0,4.0,4.0,4.0,3.5,1.0,2.0
2538,청구,3.0,1.0,1.0,1.0,1.5,1.0,2.0
2820,장지,2.0,4.0,4.0,4.0,3.5,1.0,2.0
2716,중계,2.0,4.0,4.0,4.0,3.5,1.0,2.0
213,구의(광진구청),3.0,5.0,5.0,5.0,4.5,1.0,2.0
2823,남한산성입구(성남법원.검찰청),2.0,4.0,4.0,4.0,3.5,1.0,2.0
329,고속터미널,2.0,2.0,2.0,4.0,2.5,1.0,2.0
2516,발산,2.0,4.0,4.0,4.0,3.5,1.0,2.0
214,강변(동서울터미널),4.0,4.0,2.0,4.0,3.5,1.0,2.0
4709,북한산보국문,2.0,4.0,2.0,2.0,2.5,1.0,2.0
432,총신대입구(이수),2.0,4.0,4.0,4.0,3.5,1.0,2.0
425,회현(남대문시장),2.0,4.0,4.0,4.0,3.5,1.0,2.0
2812,천호(풍납토성),3.0,1.0,1.0,1.0,1.5,1.0,2.0
201,시청,2.0,2.0,2.0,4.0,2.5,1.0,2.0
413,쌍문,3.0,5.0,5.0,5.0,4.5,1.0,2.0
203,을지로3가,3.0,2.0,2.0,4.0,2.75,0.9574271077563381,2.0
224,서초,2.0,3.0,2.0,4.0,2.75,0.9574271077563381,2.0
325,옥수,2.0,2.0,3.0,4.0,2.75,0.9574271077563381,2.0
312,불광,3.0,2.0,2.0,4.0,2.75,0.9574271077563381,2.0
155,동대문,2.0,3.0,2.0,4.0,2.75,0.9574271077563381,2.0
4711,성신여대입구(돈암),2.0,3.0,1.0,1.0,1.75,0.9574271077563381,2.0
410,상계,3.0,5.0,4.0,5.0,4.25,0.9574271077563381,2.0
245,신답,2.0,3.0,2.0,4.0,2.75,0.9574271077563381,2.0
2553,고덕,2.0,3.0,4.0,4.0,3.25,0.9574271077563381,2.0
328,잠원,2.0,4.0,3.0,4.0,3.25,0.9574271077563381,2.0
4135,한성백제,3.0,2.0,1.0,1.0,1.75,0.9574271077563381,2.0
220,선릉,3.0,4.0,2.0,4.0,3.25,0.9574271077563381,2.0
206,신당,2.0,4.0,3.0,4.0,3.25,0.9574271077563381,2.0
2757,부천시청,2.0,4.0,4.0,3.0,3.25,0.9574271077563381,2.0
336,학여울,2.0,4.0,3.0,4.0,3.25,0.9574271077563381,2.0
334,도곡,2.0,3.0,2.0,4.0,2.75,0.9574271077563381,2.0
332,양재(서초구청),3.0,2.0,2.0,4.0,2.75,0.9574271077563381,2.0
330,교대(법원.검찰청),2.0,3.0,2.0,4.0,2.75,0.9574271077563381,2.0
247,도림천,2.0,3.0,4.0,4.0,3.25,0.9574271077563381,2.0
250,용두(동대문구청),2.0,4.0,3.0,4.0,3.25,0.9574271077563381,2.0
311,연신내,2.0,3.0,2.0,4.0,2.75,0.9574271077563381,2.0
4107,가양,3.0,4.0,2.0,2.0,2.75,0.9574271077563381,2.0
4109,등촌,3.0,3.0,2.0,1.0,2.25,0.9574271077563381,2.0
236,영등포구청,3.0,2.0,2.0,4.0,2.75,0.9574271077563381,2.0
235,문래,2.0,3.0,4.0,4.0,3.25,0.9574271077563381,2.0
234,신도림,3.0,2.0,2.0,4.0,2.75,0.9574271077563381,2.0
228,서울대입구(관악구청),3.0,4.0,4.0,5.0,4.0,0.816496580927726,2.0
2648,봉화산(서울의료원),3.0,2.0,1.0,2.0,2.0,0.816496580927726,2.0
2525,영등포시장,3.0,3.0,2.0,4.0,3.0,0.816496580927726,2.0
2643,상월곡(한국과학기술연구원),3.0,2.0,1.0,2.0,2.0,0.816496580927726,2.0
316,독립문,2.0,4.0,3.0,3.0,3.0,0.816496580927726,2.0
2542,마장,3.0,2.0,2.0,1.0,2.0,0.816496580927726,2.0
322,동대입구,2.0,3.0,3.0,4.0,3.0,0.816496580927726,2.0
337,대청,2.0,3.0,3.0,4.0,3.0,0.816496580927726,2.0
321,충무로,2.0,3.0,3.0,4.0,3.0,0.816496580927726,2.0
4104,신방화,3.0,2.0,2.0,1.0,2.0,0.816496580927726,2.0
243,충정로(경기대입구),2.0,1.0,2.0,3.0,2.0,0.816496580927726,2.0
4105,마곡나루,3.0,2.0,2.0,1.0,2.0,0.816496580927726,2.0
2635,청구,3.0,2.0,1.0,2.0,2.0,0.816496580927726,2.0
416,미아사거리,3.0,4.0,4.0,5.0,4.0,0.816496580927726,2.0
158,청량리(서울시립대입구),2.0,3.0,3.0,4.0,3.0,0.816496580927726,2.0
415,미아(서울사이버대학),3.0,4.0,4.0,5.0,4.0,0.816496580927726,2.0
4137,둔촌오륜,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
427,숙대입구(갈월),3.0,2.0,2.0,3.0,2.5,0.5773502691896257,1.0
2535,종로3가,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
2523,양평,3.0,3.0,2.0,2.0,2.5,0.5773502691896257,1.0
2753,까치울,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
2638,창신,3.0,2.0,2.0,3.0,2.5,0.5773502691896257,1.0
2639,보문,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
2640,안암(고대병원앞),3.0,3.0,2.0,2.0,2.5,0.5773502691896257,1.0
212,건대입구,2.0,3.0,2.0,3.0,2.5,0.5773502691896257,1.0
242,아현,3.0,4.0,3.0,4.0,3.5,0.5773502691896257,1.0
2825,신흥,3.0,2.0,3.0,2.0,2.5,0.5773502691896257,1.0
2827,모란,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
309,지축,2.0,3.0,2.0,3.0,2.5,0.5773502691896257,1.0
244,용답,3.0,4.0,4.0,3.0,3.5,0.5773502691896257,1.0
2512,개화산,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
2732,강남구청,2.0,1.0,1.0,2.0,1.5,0.5773502691896257,1.0
324,금호,2.0,2.0,3.0,3.0,2.5,0.5773502691896257,1.0
2515,마곡,2.0,3.0,3.0,2.0,2.5,0.5773502691896257,1.0
2517,우장산,3.0,4.0,3.0,4.0,3.5,0.5773502691896257,1.0
2617,새절(신사),3.0,2.0,3.0,2.0,2.5,0.5773502691896257,1.0
2549,강동,2.0,3.0,3.0,2.0,2.5,0.5773502691896257,1.0
2550,길동,2.0,3.0,3.0,2.0,2.5,0.5773502691896257,1.0
2529,마포,2.0,3.0,3.0,2.0,2.5,0.5773502691896257,1.0
2534,광화문(세종문화회관),2.0,2.0,3.0,3.0,2.5,0.5773502691896257,1.0
4703,4.19민주묘지,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
246,신설동,3.0,4.0,3.0,4.0,3.5,0.5773502691896257,1.0
2723,면목,3.0,2.0,3.0,2.0,2.5,0.5773502691896257,1.0
2717,하계,2.0,3.0,3.0,2.0,2.5,0.5773502691896257,1.0
2738,이수,2.0,1.0,1.0,2.0,1.5,0.5773502691896257,1.0
2742,장승배기,3.0,3.0,2.0,2.0,2.5,0.5773502691896257,1.0
2718,공릉(서울과학기술대),3.0,3.0,2.0,2.0,2.5,0.5773502691896257,1.0
2528,여의나루,2.0,3.0,2.0,3.0,2.5,0.5773502691896257,1.0
4707,삼양사거리,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
2760,굴포천,2.0,1.0,1.0,2.0,1.5,0.5773502691896257,1.0
2612,역촌,3.0,3.0,2.0,2.0,2.5,0.5773502691896257,1.0
2646,태릉입구,2.0,1.0,2.0,1.0,1.5,0.5773502691896257,1.0
4117,노량진,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
4115,여의도,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,1.0
222,강남,2.0,1.0,2.0,1.0,1.5,0.5773502691896257,1.0
208,왕십리(성동구청),3.0,4.0,3.0,4.0,3.5,0.5773502691896257,1.0
4120,동작(현충원),2.0,1.0,1.0,1.0,1.25,0.5,1.0
4123,고속터미널,2.0,2.0,1.0,2.0,1.75,0.5,1.0
411,노원,3.0,4.0,4.0,4.0,3.75,0.5,1.0
4110,염창,2.0,2.0,2.0,1.0,1.75,0.5,1.0
4114,국회의사당,2.0,3.0,2.0,2.0,2.25,0.5,1.0
4116,샛강,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2513,김포공항,2.0,1.0,1.0,1.0,1.25,0.5,1.0
210,뚝섬,3.0,3.0,3.0,4.0,3.25,0.5,1.0
2641,고려대(종암),3.0,2.0,2.0,2.0,2.25,0.5,1.0
2754,부천종합운동장,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2755,춘의,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2756,신중동,2.0,3.0,3.0,3.0,2.75,0.5,1.0
2745,신풍,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2719,태릉입구,2.0,1.0,2.0,2.0,1.75,0.5,1.0
2642,월곡(동덕여대),3.0,3.0,3.0,2.0,2.75,0.5,1.0
2645,석계,2.0,2.0,1.0,2.0,1.75,0.5,1.0
2647,화랑대(서울여대입구),3.0,2.0,2.0,2.0,2.25,0.5,1.0
2746,대림(구로구청),2.0,3.0,2.0,2.0,2.25,0.5,1.0
2747,남구로,3.0,3.0,2.0,3.0,2.75,0.5,1.0
2739,남성,3.0,4.0,3.0,3.0,3.25,0.5,1.0
2743,신대방삼거리,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2720,먹골,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2721,중화,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2722,상봉(시외버스터미널),3.0,2.0,2.0,2.0,2.25,0.5,1.0
2725,용마산,3.0,3.0,3.0,4.0,3.25,0.5,1.0
2714,마들,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2728,어린이대공원(세종대),3.0,3.0,3.0,2.0,2.75,0.5,1.0
2729,건대입구,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2733,학동,2.0,3.0,2.0,2.0,2.25,0.5,1.0
4101,개화,2.0,2.0,1.0,2.0,1.75,0.5,1.0
4108,증미,2.0,2.0,2.0,1.0,1.75,0.5,1.0
339,수서,3.0,2.0,2.0,2.0,2.25,0.5,1.0
340,가락시장,2.0,2.0,2.0,3.0,2.25,0.5,1.0
2556,올림픽공원(한국체대),2.0,1.0,1.0,1.0,1.25,0.5,1.0
2557,방이,2.0,3.0,2.0,2.0,2.25,0.5,1.0
4102,김포공항,2.0,1.0,1.0,1.0,1.25,0.5,1.0
4103,공항시장,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2623,합정,2.0,2.0,1.0,2.0,1.75,0.5,1.0
2624,상수,2.0,3.0,2.0,2.0,2.25,0.5,1.0
2611,응암,3.0,4.0,4.0,4.0,3.75,0.5,1.0
2616,구산,2.0,3.0,3.0,3.0,2.75,0.5,1.0
2817,송파,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2818,가락시장,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2819,문정,3.0,3.0,3.0,2.0,2.75,0.5,1.0
2821,복정,3.0,3.0,3.0,2.0,2.75,0.5,1.0
2761,부평구청,2.0,2.0,1.0,2.0,1.75,0.5,1.0
2811,암사,2.0,3.0,2.0,2.0,2.25,0.5,1.0
2815,잠실(송파구청),2.0,2.0,3.0,2.0,2.25,0.5,1.0
4705,화계,2.0,1.0,1.0,1.0,1.25,0.5,1.0
4706,삼양,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2627,공덕,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2628,효창공원앞,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2629,삼각지,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2630,녹사평(용산구청),3.0,2.0,2.0,2.0,2.25,0.5,1.0
2632,한강진,2.0,3.0,2.0,2.0,2.25,0.5,1.0
2618,증산(명지대앞),3.0,4.0,4.0,4.0,3.75,0.5,1.0
2619,디지털미디어시티,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2622,망원,2.0,3.0,3.0,3.0,2.75,0.5,1.0
4708,솔샘,2.0,2.0,2.0,1.0,1.75,0.5,1.0
4701,북한산우이,2.0,1.0,1.0,1.0,1.25,0.5,1.0
4702,솔밭공원,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2536,을지로4가,2.0,1.0,1.0,1.0,1.25,0.5,1.0
2521,목동,2.0,3.0,3.0,3.0,2.75,0.5,1.0
2522,오목교(목동운동장앞),2.0,3.0,3.0,3.0,2.75,0.5,1.0
2626,대흥(서강대앞),3.0,4.0,4.0,4.0,3.75,0.5,1.0
4704,가오리,2.0,2.0,2.0,1.0,1.75,0.5,1.0
428,삼각지,3.0,4.0,4.0,4.0,3.75,0.5,1.0
2541,왕십리(성동구청),2.0,2.0,2.0,1.0,1.75,0.5,1.0
2543,답십리,2.0,3.0,2.0,2.0,2.25,0.5,1.0
2544,장한평,3.0,4.0,4.0,4.0,3.75,0.5,1.0
2545,군자(능동),2.0,2.0,1.0,2.0,1.75,0.5,1.0
2546,아차산(어린이대공원후문),3.0,3.0,3.0,2.0,2.75,0.5,1.0
2547,광나루(장신대),3.0,2.0,2.0,2.0,2.25,0.5,1.0
2548,천호(풍납토성),2.0,3.0,2.0,2.0,2.25,0.5,1.0
230,신림,2.0,2.0,1.0,2.0,1.75,0.5,1.0
233,대림(구로구청),3.0,3.0,3.0,4.0,3.25,0.5,1.0
422,동대문역사문화공원,2.0,1.0,1.0,1.0,1.25,0.5,1.0
237,당산,2.0,1.0,2.0,2.0,1.75,0.5,1.0
2518,화곡,3.0,4.0,4.0,4.0,3.75,0.5,1.0
225,방배,3.0,4.0,4.0,4.0,3.75,0.5,1.0
4130,종합운동장,3.0,2.0,2.0,2.0,2.25,0.5,1.0
4131,삼전,2.0,2.0,2.0,1.0,1.75,0.5,1.0
215,잠실나루,3.0,4.0,4.0,4.0,3.75,0.5,1.0
156,신설동,2.0,2.0,2.0,3.0,2.25,0.5,1.0
157,제기동,3.0,4.0,4.0,4.0,3.75,0.5,1.0
4713,신설동,2.0,1.0,1.0,1.0,1.25,0.5,1.0
4124,사평,2.0,2.0,1.0,2.0,1.75,0.5,1.0
4127,선정릉,2.0,1.0,1.0,1.0,1.25,0.5,1.0
150,서울역,2.0,2.0,2.0,3.0,2.25,0.5,1.0
205,동대문역사문화공원,2.0,2.0,2.0,3.0,2.25,0.5,1.0
4712,보문,2.0,1.0,1.0,1.0,1.25,0.5,1.0
4133,석촌,2.0,1.0,1.0,1.0,1.25,0.5,1.0
4136,올림픽공원(한국체대),2.0,1.0,1.0,1.0,1.25,0.5,1.0
2711,장암,2.0,1.0,2.0,2.0,1.75,0.5,1.0
2636,신당,3.0,2.0,2.0,2.0,2.25,0.5,1.0
2637,동묘앞,2.0,2.0,1.0,2.0,1.75,0.5,1.0
153,종로3가,,,2.0,2.0,2.0,0.0,0.0
204,을지로4가,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2514,송정,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2520,신정(은행정),2.0,2.0,2.0,2.0,2.0,0.0,0.0
4111,신목동,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4112,선유도,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4113,당산,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4118,노들,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4119,흑석(중앙대입구),2.0,2.0,2.0,2.0,2.0,0.0,0.0
4121,구반포,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4710,정릉,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2813,강동구청,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2814,몽촌토성(평화의문),2.0,2.0,2.0,2.0,2.0,0.0,0.0
2816,석촌,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2822,산성,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2826,수진,3.0,3.0,3.0,3.0,3.0,0.0,0.0
319,종로3가,2.0,2.0,2.0,2.0,2.0,0.0,0.0
320,을지로3가,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2730,뚝섬유원지,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2731,청담,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2734,논현,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2736,고속터미널,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2737,내방,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2740,숭실대입구(살피재),3.0,3.0,3.0,3.0,3.0,0.0,0.0
2741,상도,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2748,가산디지털단지,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2751,천왕,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2758,상동,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2759,삼산체육관,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2634,약수,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2644,돌곶이,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2712,도봉산,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2713,수락산,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2715,노원,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2724,사가정,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2726,중곡,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2727,군자(능동),2.0,2.0,2.0,2.0,2.0,0.0,0.0
323,약수,2.0,2.0,2.0,2.0,2.0,0.0,0.0
342,오금,2.0,2.0,2.0,2.0,2.0,0.0,0.0
409,불암산,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4106,양천향교,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2555,둔촌동,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2558,오금,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2559,개롱,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2613,불광,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2614,독바위,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2615,연신내,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2620,월드컵경기장(성산),2.0,2.0,2.0,2.0,2.0,0.0,0.0
2621,마포구청,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2625,광흥창(서강),2.0,2.0,2.0,2.0,2.0,0.0,0.0
2631,이태원,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2633,버티고개,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2524,영등포구청,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2526,신길,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2527,여의도,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2530,공덕,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2531,애오개,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2532,충정로(경기대입구),2.0,2.0,2.0,2.0,2.0,0.0,0.0
2533,서대문,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2537,동대문역사문화공원,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2539,신금호,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2540,행당,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2551,굽은다리(강동구민회관앞),3.0,3.0,3.0,3.0,3.0,0.0,0.0
2552,명일,2.0,2.0,2.0,2.0,2.0,0.0,0.0
241,이대,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2511,방화,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4122,신반포,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4126,언주,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4128,삼성중앙,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4129,봉은사,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4132,석촌고분,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4134,송파나루,2.0,2.0,2.0,2.0,2.0,0.0,0.0
4138,중앙보훈병원,2.0,2.0,2.0,2.0,2.0,0.0,0.0
216,잠실(송파구청),2.0,2.0,2.0,2.0,2.0,0.0,0.0
218,종합운동장,2.0,2.0,2.0,2.0,2.0,0.0,0.0
226,사당,2.0,2.0,2.0,2.0,2.0,0.0,0.0
423,충무로,2.0,2.0,2.0,2.0,2.0,0.0,0.0
429,신용산,2.0,2.0,2.0,2.0,2.0,0.0,0.0
430,이촌(국립중앙박물관),2.0,2.0,2.0,2.0,2.0,0.0,0.0
431,동작(현충원),2.0,2.0,2.0,2.0,2.0,0.0,0.0
433,사당,2.0,2.0,2.0,2.0,2.0,0.0,0.0
434,남태령,2.0,2.0,2.0,2.0,2.0,0.0,0.0
